  Lead 208 
  82.  208.  502.00  93
   8.368  0.165E+04  0.246E+02   9.952  0.457E+03  0.106E+02
  10.436  0.284E+03  0.717E+01  11.431  0.136E+03  0.446E+01
  12.496  0.573E+02  0.146E+01  13.463  0.288E+02  0.279E+00
  13.984  0.200E+02  0.444E+00  14.544  0.152E+02  0.390E+00
  15.040  0.113E+02  0.262E+00  15.924  0.749E+01  0.104E+00
  16.579  0.565E+01  0.130E+00  17.070  0.486E+01  0.153E+00
  17.503  0.392E+01  0.889E-01  18.070  0.307E+01  0.991E-01
  18.446  0.257E+01  0.236E-01  19.070  0.191E+01  0.612E-01
  19.602  0.153E+01  0.476E-01  20.070  0.116E+01  0.215E+00
  20.596  0.861E+00  0.196E-01  21.070  0.640E+00  0.161E-01
  21.590  0.508E+00  0.157E-01  21.918  0.370E+00  0.396E-02
  22.579  0.245E+00  0.535E-02  23.070  0.178E+00  0.444E-02
  23.563  0.132E+00  0.409E-02  24.070  0.875E-01  0.353E-02
  24.439  0.686E-01  0.679E-03  25.070  0.541E-01  0.166E-02
  25.514  0.440E-01  0.973E-03  26.070  0.371E-01  0.109E-02
  26.461  0.331E-01  0.325E-03  27.070  0.311E-01  0.817E-03
  27.441  0.289E-01  0.652E-03  28.071  0.264E-01  0.708E-03
  28.934  0.242E-01  0.568E-03  29.266  0.197E-01  0.187E-03
  30.071  0.155E-01  0.514E-03  31.071  0.106E-01  0.304E-03
  32.071  0.654E-02  0.176E-03  33.054  0.382E-02  0.851E-04
  33.962  0.202E-02  0.484E-04  34.415  0.149E-02  0.195E-04
  34.862  0.115E-02  0.312E-04  35.753  0.703E-03  0.215E-04
  36.071  0.649E-03  0.170E-04  36.635  0.537E-03  0.816E-04
  37.071  0.509E-03  0.146E-04  37.508  0.510E-03  0.131E-04
  37.975  0.489E-03  0.146E-04  38.371  0.480E-03  0.181E-04
  38.961  0.476E-03  0.190E-04  39.588  0.408E-03  0.130E-04
  40.011  0.410E-03  0.164E-04  40.899  0.331E-03  0.909E-05
  41.721  0.288E-03  0.977E-05  42.062  0.261E-03  0.180E-04
  42.952  0.159E-03  0.478E-05  43.330  0.130E-03  0.477E-05
  44.062  0.878E-04  0.269E-05  44.961  0.540E-04  0.162E-05
  45.880  0.290E-04  0.870E-06  46.407  0.227E-04  0.187E-05
  46.930  0.172E-04  0.517E-06  48.063  0.128E-04  0.495E-06
  48.948  0.129E-04  0.388E-06  50.013  0.133E-04  0.531E-06
  50.628  0.138E-04  0.156E-05  50.957  0.137E-04  0.410E-06
  52.013  0.112E-04  0.448E-06  52.063  0.115e-04  0.433e-06
  52.956  0.905E-05  0.272E-06  54.064  0.620E-05  0.332E-06
  54.974  0.450E-05  0.149E-06  56.064  0.273E-05  0.166E-06
  56.963  0.165E-05  0.676E-07  58.064  0.804E-06  0.777E-07
  58.982  0.568E-06  0.244E-07  59.961  0.409E-06  0.204E-07
  60.971  0.357E-06  0.186E-07  62.065  0.285E-06  0.287E-07
  62.949  0.288E-06  0.178E-07  64.918  0.201E-06  0.141E-07
  66.017  0.118E-06  0.946E-08  66.977  0.835E-07  0.752E-08
  68.965  0.365E-07  0.437E-08  70.914  0.987E-08  0.139E-08
  72.933  0.615E-08  0.117E-08  74.952  0.547E-08  0.126E-08
  76.940  0.367E-08  0.845E-09  78.939  0.233E-08  0.562E-09
  80.928  0.495E-09  0.223E-09  83.013  0.379E-09  0.190E-09
  87.015  0.115E-10  0.115E-09
