  Calcium 40  
  20. 40. 400. 100
  15.129  0.129E+02  0.388E+00  16.372  0.750E+01  0.225E+00
  17.612  0.448E+01  0.151E+00  18.849  0.264E+01  0.846E-01
  20.083  0.148E+01  0.444E-01  21.312  0.861E+00  0.258E-01
  22.537  0.486E+00  0.146E-01  23.752  0.261E+00  0.783E-02
  24.925  0.150E+00  0.451E-02  26.179  0.713E-01  0.214E-02
  27.391  0.398E-01  0.128E-02  28.211  0.239E-01  0.309E-02
  28.543  0.176E-01  0.527E-03  28.758  0.162E-01  0.518E-03
  29.786  0.875E-02  0.263E-03  30.010  0.694E-02  0.225E-03
  30.962  0.365E-02  0.110E-03  31.264  0.331E-02  0.112E-03
  32.023  0.261E-02  0.403E-03  32.519  0.186E-02  0.627E-04
  33.285  0.146E-02  0.438E-04  33.939  0.152E-02  0.108E-03
  34.488  0.133E-02  0.400E-04  34.757  0.125E-02  0.527E-04
  35.615  0.141E-02  0.423E-04  35.863  0.137E-02  0.945E-04
  36.797  0.138E-02  0.415E-04  37.277  0.143E-02  0.544E-04
  37.794  0.134E-02  0.950E-04  39.081  0.118E-02  0.353E-04
  39.734  0.117E-02  0.824E-04  40.182  0.114E-02  0.342E-04
  41.347  0.935E-03  0.287E-04  41.683  0.878E-03  0.611E-04
  42.417  0.778E-03  0.233E-04  42.696  0.764E-03  0.268E-04
  43.516  0.609E-03  0.183E-04  43.955  0.585E-03  0.175E-04
  44.635  0.452E-03  0.136E-04  45.229  0.432E-03  0.161E-04
  45.611  0.346E-03  0.310E-04  46.518  0.298E-03  0.134E-04
  46.803  0.257E-03  0.770E-05  47.591  0.213E-03  0.213E-04
  47.797  0.204E-03  0.824E-05  48.870  0.123E-03  0.408E-05
  49.078  0.127E-03  0.521E-05  49.583  0.104E-03  0.105E-04
  49.933  0.826E-04  0.248E-05  50.413  0.768E-04  0.316E-05
  50.974  0.562E-04  0.180E-05  51.588  0.438E-04  0.625E-05
  51.986  0.353E-04  0.119E-05  52.654  0.243E-04  0.120E-05
  52.976  0.214E-04  0.642E-06  53.605  0.164E-04  0.273E-05
  53.933  0.123E-04  0.516E-06  54.308  0.109E-04  0.476E-06
  54.936  0.643E-05  0.228E-06  55.539  0.509E-05  0.229E-06
  56.902  0.233E-05  0.112E-06  57.684  0.154E-05  0.332E-06
  58.061  0.128E-05  0.536E-07  59.458  0.121E-05  0.471E-07
  59.747  0.120E-05  0.179E-06  60.453  0.143E-05  0.545E-07
  61.826  0.191E-05  0.171E-06  63.423  0.213E-05  0.926E-07
  66.041  0.226E-05  0.181E-06  68.386  0.191E-05  0.654E-07
  68.734  0.172E-05  0.829E-07  70.338  0.148E-05  0.134E-06
  71.067  0.123E-05  0.532E-07  71.588  0.120E-05  0.418E-07
  73.768  0.848E-06  0.461E-07  74.316  0.664E-06  0.253E-07
  74.729  0.601E-06  0.837E-07  76.491  0.473E-06  0.250E-07
  77.067  0.394E-06  0.118E-07  79.227  0.231E-06  0.356E-07
  79.845  0.175E-06  0.524E-08  80.623  0.142E-06  0.122E-07
  82.650  0.711E-07  0.335E-08  83.849  0.474E-07  0.137E-07
  84.817  0.309E-07  0.408E-08  85.486  0.248E-07  0.144E-08
  88.355  0.721E-08  0.467E-09  89.083  0.611E-08  0.186E-08
  91.011  0.214E-08  0.557E-09  93.501  0.138E-08  0.578E-09
  95.671  0.668E-09  0.650E-10  96.041  0.584E-09  0.229E-09
  98.689  0.638E-09  0.334E-09 101.292  0.621E-09  0.279E-09
 103.398  0.828E-09  0.832E-10 104.015  0.915E-09  0.450E-09
 105.550  0.882E-09  0.521E-09 109.695  0.561E-09  0.234E-09
 116.507  0.836E-10  0.215E-10 123.719  0.511E-11  0.299E-11
